DATE,Home Price Index,Gross Domestic Product,Consumer Price Index,Construction Rate,Unemployment Rate,Interest Rate,Gross Domestic Income
01-01-2004,3.21483,1.28449,0.84624,1.33165,-2.28571,6.19139,1.54799
01-04-2004,3.42687,1.5882,0.78557,3.08628,-1.75439,4.98468,1.95106
01-07-2004,3.04141,1.58916,0.63773,3.65154,-2.97619,6.47008,1.87335
01-10-2004,3.15594,1.80334,1.07375,1.46157,0,-0.02674,1.32946
01-01-2005,3.77372,1.9164,0.50505,3.5265,-2.45399,3.55895,1.67014
01-04-2005,3.58816,1.21694,0.67579,3.00106,-3.77358,1.73554,1.68396
01-07-2005,3.0893,1.70233,1.51463,3.55013,-2.61438,4.48356,1.66461
01-10-2005,2.84073,1.38147,0.93252,3.55922,0,3.30242,2.34296
01-01-2006,2.10818,2.06358,0.52075,2.52593,-4.69799,2.82977,2.27216
01-04-2006,0.36693,1.13436,0.90241,-1.67602,-2.11268,4.44335,1.28437
01-07-2006,-0.64005,0.84898,0.94402,-3.0011,0,2.56774,1.08747
01-10-2006,0.45327,1.22112,-0.41017,-1.73035,-4.31655,2.07057,0.58372
01-01-2007,0.42128,1.25425,0.9804,1.28707,1.50376,2.90163,0.94665
01-04-2007,-1.51844,1.31145,1.13255,1.52206,0,4.30447,1.18108
01-07-2007,-1.85001,1.12508,0.63301,-0.07414,3.7037,2.0289,-0.31867
01-10-2007,-1.62178,1.03639,1.22664,-2.08934,2.85714,-1.00263,0.44322
01-01-2008,-2.16457,-0.0579,1.08319,-2.62014,4.16667,-7.87877,0.30865
01-04-2008,-2.85805,1.08226,1.30094,-0.56,6.66667,1.69516,0.30062
01-07-2008,-2.83074,0.22399,1.54188,-2.31684,12.5,-2.37418,0.63693
01-10-2008,-3.65787,-1.95174,-2.29019,-3.93194,14.44444,-2.96516,-2.03482
01-01-2009,-3.82537,-1.21375,-0.68787,-5.80982,20.38835,-6.10384,-1.72854
01-04-2009,-1.43299,-0.34416,0.53176,-5.00131,12.5,-17.87877,0.18219
01-07-2009,0.22108,0.47038,0.86039,-2.39567,3.58423,-2.95942,0.53063
01-10-2009,-0.17832,1.40057,0.78293,-4.6798,3.11419,-6.98635,1.87329
01-01-2010,-1.13332,0.77373,0.1585,-4.4177,-1.00671,3.49941,0.8373
01-04-2010,-0.08499,1.46013,-0.03527,0.65909,-2.0339,7.65148,1.4551
01-07-2010,-1.50463,1.07752,0.29315,-2.65053,-1.7301,-0.95462,1.81933
01-10-2010,-1.1963,1.10865,0.80972,-0.60321,0.35211,1.21451,0.84259
01-01-2011,-1.15127,0.27417,1.06722,-4.48537,-4.91228,3.62894,0.62395
01-04-2011,-0.48929,1.34249,1.13701,2.27454,0.369,-1.85525,1.3942
01-07-2011,-0.49241,0.5794,0.65207,3.35397,-0.73529,-1.41931,0.8168
01-10-2011,-1.41967,1.2435,0.4489,0.98433,-4.07407,6.22806,1.04131
01-01-2012,-0.17825,1.43001,0.56317,1.73934,-4.2471,-0.09849,2.59114
01-04-2012,2.26061,0.86074,0.2111,2.67326,-0.80645,-0.55319,0.64419
01-07-2012,1.55163,0.69368,0.45147,1.47298,-2.03252,1.91663,-0.30754
01-10-2012,1.59797,0.61814,0.66495,1.19691,-2.90456,1.54121,1.94378
01-01-2013,2.5111,1.38711,0.40195,-0.70296,-0.8547,1.04363,0.38908
01-04-2013,3.14938,0.48352,-0.10949,2.57458,-2.58621,5.47345,0.82163
01-07-2013,2.66549,1.3459,0.54084,4.39179,-3.9823,6.55168,0.58293
01-10-2013,2.02129,1.40488,0.36977,3.93578,-4.14747,-0.45273,1.10741
01-01-2014,1.50342,0.03327,0.62279,2.44373,-3.84615,-1.73722,1.04286
01-04-2014,0.73473,1.86519,0.53108,1.86121,-7,4.88362,1.96028
01-07-2014,0.93462,1.63096,0.25583,1.04119,-2.15054,1.91311,1.56444
01-10-2014,1.27417,0.60576,-0.24844,3.1391,-6.04396,3.06052,0.9616
01-01-2015,1.10097,0.84552,-0.64728,2.32422,-2.92398,4.49534,0.61672
01-04-2015,1.00544,1.19719,0.68195,5.84811,-1.80723,2.28125,0.92307
01-07-2015,1.22034,0.66654,0.3777,2.15972,-6.13497,-0.12818,0.43364
01-10-2015,1.57198,0.18211,-0.00757,-0.84637,-1.30719,-0.87805,0.1972
01-01-2016,1.1384,0.49252,-0.06209,2.00435,-2.64901,-2.05119,0.51296
01-04-2016,0.97701,1.00275,0.79978,2.0319,0.68027,3.88528,0.20627
01-07-2016,1.34302,0.96697,0.42447,2.05968,-0.67568,3.29803,0.91499
01-10-2016,1.59544,1.04136,0.63478,2.94977,-2.72109,0.51074,0.97749
01-01-2017,1.42441,0.99901,0.70374,0.83132,-4.1958,-1.85633,1.32928
01-04-2017,1.20123,0.8224,0.11538,0.5245,-4.37956,7.7759,0.87807
01-07-2017,1.58339,1.30643,0.47804,0.04961,-0.76336,-2.07611,1.00844
01-10-2017,1.73765,1.74935,0.79553,2.03296,-3.84615,1.71293,1.6866
01-01-2018,1.63381,1.45463,0.84264,3.3888,-3.2,0.81286,1.36828
01-04-2018,1.14294,1.2414,0.54441,0.47347,-2.47934,0.35095,1.31276
01-07-2018,1.08468,1.05835,0.40184,-1.39041,-4.23729,0.29898,1.4198
01-10-2018,0.98121,0.57281,0.40712,-2.48707,1.76991,-1.29682,0.84524
01-01-2019,0.58391,0.89046,0.26697,0.67118,0.86957,4.45783,1.26087
01-04-2019,0.62081,1.3298,0.73472,4.38538,-6.03448,4.4621,0.72561
01-07-2019,0.92596,1.44732,0.32988,4.29874,-0.91743,-0.85396,0.97081
01-10-2019,1.322,0.95928,0.70236,2.19113,0,-0.7894,1.10623
01-01-2020,1.40139,-0.89432,0.34097,2.80952,6.48148,1.41271,-0.13893
01-04-2020,0.62544,-8.2619,-0.94345,-2.70782,239.13043,-2.51843,-9.0507
01-07-2020,2.43094,8.71031,1.13748,2.34631,-32.30769,1.99757,7.48909
01-10-2020,4.81649,1.74089,0.69742,4.12789,-23.48485,3.32268,4.34937
01-01-2021,4.03769,2.61383,1.0039,2.83924,-7.42574,1.01566,2.0924
01-04-2021,4.55453,3.06271,1.87823,1.97279,-4.81283,2.78491,2.67606
01-07-2021,5.07026,2.30381,1.5886,2.26731,-14.60674,7.35118,2.37808
01-10-2021,4.11953,3.46482,2.12186,3.46475,-17.76316,3.93424,3.27619
01-01-2022,5.00208,1.51904,2.20527,7.17286,-8.8,-2.08992,2.14682
01-04-2022,3.98546,2.05823,2.41563,4.06369,-4.38596,-0.33376,2.20258
01-07-2022,-0.57397,1.76308,1.30359,-0.19894,-2.75229,1.49118,1.76639
01-10-2022,-0.99254,1.59174,0.99219,-0.20749,0.9434,0.1348,0.18544
01-01-2023,-0.06785,1.53434,0.92548,1.71323,-1.86916,-0.81316,1.09651
01-04-2023,1.46863,0.93017,0.75154,3.13402,1.90476,2.25169,0.52975
01-07-2023,2.10353,2.02164,0.84611,1.74114,3.73832,-2.8519,1.29168
01-10-2023,1.58242,1.25631,0.67465,2.17088,0.9009,-7.42978,1.31403
01-01-2024,1.10232,1.11663,0.93823,2.0538,1.78571,-0.95763,1.09591
